"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 11:19:39,FALSE,NA,"1159061536091987973",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alin82982116",265,TRUE,FALSE,NA,NA
"RT @raracheesee: @geekkboyy @gojekindonesia harusnya Gojek gak cuma ngelit customer terus, kejadian nya kyk gini nih, cust yang goblog driv…",FALSE,0,NA,2019-08-07 11:19:30,FALSE,NA,"1159061500809494528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shly25898",478,TRUE,FALSE,NA,NA
"RT @bayugusa: Kumpulan voucher gratis dan promo menarik GOJEK<U+0001F60D>
(Auto update jika ada yang baru)

Like + rt dulu biar yang lain tau juga<U+0001F609>

=…",FALSE,0,NA,2019-08-07 11:19:21,FALSE,NA,"1159061460279971840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sa_putriiii",325,TRUE,FALSE,NA,NA
"Layanan mobile POS, MOKA dikabarkan akan diakuisisi oleh Gojek.",FALSE,0,NA,2019-08-07 11:19:13,FALSE,NA,"1159061430093545472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeeksInside_",0,FALSE,FALSE,NA,NA
"Pendemo Rusak Gedung Gojek Semarang, Pengamat Imbau Demonstrasi Gunakan Akal Sehat https://t.co/3G4QfbrHBw https://t.co/T6jaXOkfWI",FALSE,0,NA,2019-08-07 11:19:09,FALSE,NA,"1159061411139485702",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Harian_Jogja",0,FALSE,FALSE,NA,NA
"Tadi naik gojek bapaknya jutek bgt, lagi haid kalii",FALSE,0,NA,2019-08-07 11:17:29,FALSE,NA,"1159060992875122688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danzzeldaz",0,FALSE,FALSE,NA,NA
"@Aqmarizawisnu <U+0001F62D><U+0001F62D><U+0001F602><U+0001F602><U+0001F602><U+0001F602>proud of abang gojek!",FALSE,0,"Aqmarizawisnu",2019-08-07 11:17:27,FALSE,"1159053052197736448","1159060984289353729","748916958","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ldiatmikaa",0,FALSE,FALSE,NA,NA
"Ada ga yg kaya gw, klo naik gojek smbil dengerin musik terus sambil berkhayal gitu atau ga mikirin apa gitu yg ga p… https://t.co/2VvDOU4cZP",FALSE,0,NA,2019-08-07 11:17:11,TRUE,NA,"1159060917553778690",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ehaehoy",0,FALSE,FALSE,NA,NA
"@ichsanesia Mari pindah ke Gojek <U+0001F92A>",FALSE,0,"ichsanesia",2019-08-07 11:16:57,FALSE,"1159059162115919872","1159060858175025152","1290651806","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deldeliput",0,FALSE,FALSE,NA,NA
"@fixmyheartandhi Sek pesen gojek jare lagi otw",FALSE,0,"fixmyheartandhi",2019-08-07 11:16:35,FALSE,"1159058856720228353","1159060766625918978","848501682635890688","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MasaiPull",0,FALSE,FALSE,NA,NA
"@preciousnara @geekkboyy Bahkan dulu pas naik gojek itu gua diputer""in jalan karna bpk"" baru pindah ke kota lain da… https://t.co/rCDNsbf98h",FALSE,0,"preciousnara",2019-08-07 11:16:18,TRUE,"1158869230088884224","1159060696287440896","972069396289011712","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marya0813",0,FALSE,FALSE,NA,NA
"baru sekali naik gojek motornya macem pcx.. pas aja gitu #badanguegede <U+0001F62D>",FALSE,0,NA,2019-08-07 11:16:03,FALSE,NA,"1159060629665173504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","irmanduy",0,FALSE,FALSE,NA,NA
"Kalo naik gojek kan kalo naik motor angkat rok dulu dong tapi kenapa gue selalu auto ngomong ""tuiiiing"" pas naik  ke jok motornya wkwk",FALSE,0,NA,2019-08-07 11:15:58,FALSE,NA,"1159060611814158338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sachulicious",0,FALSE,FALSE,NA,NA
"RT @hwangsyg: jihoon: pokoknya jihoon mau dateng. titik.

maroo: tapi kan ada sche—

jihoon: jihoon kan dah bilang dari awal januari?????…",FALSE,0,NA,2019-08-07 11:15:50,FALSE,NA,"1159060578327040000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","linayoomna00",265,TRUE,FALSE,NA,NA
"RT @bayugusa: Kumpulan voucher gratis dan promo menarik GOJEK<U+0001F60D>
(Auto update jika ada yang baru)

Like + rt dulu biar yang lain tau juga<U+0001F609>

=…",FALSE,0,NA,2019-08-07 11:15:43,FALSE,NA,"1159060546492043264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Agung_S77",325,TRUE,FALSE,NA,NA
"RT @newlyshot: @geekkboyy @mot_jaehyun @gojekindonesia saran: gojek klo dikasih bintang 1 jgn langsung putus mitra. Tapi, ditelusuri dulu a…",FALSE,0,NA,2019-08-07 11:14:35,FALSE,NA,"1159060261925376000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","punyasehun",105,TRUE,FALSE,NA,NA
"@askmenfess Dulu aku sering banget jalan PP hampir tiap hari malah, bertahun-tahun wakakak (tapi kalo lagi capek ak… https://t.co/MYMR1ymrUL",FALSE,0,"askmenfess",2019-08-07 11:13:34,TRUE,"1159046720040230912","1159060006349578241","810423824034299904","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shabrina_aida",0,FALSE,FALSE,NA,NA
