"score","text","class"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
-2,"rt harus gojek enggak cuma ngelit customer terus jadi nya kayak begini nih cust yang goblog driv…","Negative"
0,"rt kumpul voucher gratis dan promo tarik gojek auto update jika ada yang baru like rt dulu biar yang lain tau juga …","Neutral"
0,"layan mobile pos moka kabar akan akuisisi oleh gojek ","Neutral"
4,"demo rusak gedung gojek semarang amat imbau demonstrasi guna akal sehat ","Positive"
3,"tadi naik gojek bapak jutek banget lagi haid kali","Positive"
0," proud of abang gojek ","Neutral"
3,"ada enggak yang kayak gue kalo naik gojek sambil dengar musik terus sambil khayal begitu atau enggak pikir apa begitu yang enggak p… ","Positive"
0," mari pindah ke gojek ","Neutral"
0," sek pesan gojek jare lagi otw","Neutral"
3," bahkan dulu pas naik gojek itu gua puter ini jalan karena bpk baru pindah ke kota lain da… ","Positive"
3,"baru sekal naik gojek motor macam pcx pas saja begitu badanguegede ","Positive"
3,"kalo naik gojek kan kalo naik motor angkat rok dulu dong tapi kenapa gue selalu auto omong tuiiiing pas naik ke jok motor wkwk","Positive"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
0,"rt kumpul voucher gratis dan promo tarik gojek auto update jika ada yang baru like rt dulu biar yang lain tau juga …","Neutral"
0,"rt saran gojek kalo kasih bintang jangan langsung putus mitra tapi telusur dulu a…","Neutral"
0," dulu aku sering banget jalan pp hampir tiap hari malah tahun tahun wakakak tapi kalo lagi capek ak… ","Neutral"
-2,"rt harus gojek enggak cuma ngelit customer terus jadi nya kayak begini nih cust yang goblog driv…","Negative"
0," ya nyasar deh itu gojek wkwkwk","Neutral"
0,"rt saran gojek kalo kasih bintang jangan langsung putus mitra tapi telusur dulu a…","Neutral"
0," mas pesan gojek gojek maaf tunggu dulu ya mesin susah nyalamasnya santai mas beberapa menit kemudian… ","Neutral"
0," ya tuhan kupikir ini helm gojek ","Neutral"
4," mark pegang helm gojek juga tetap saja ganteng ","Positive"
8,"rt ini dia jawab dari kuis teka teki pekan lalu selamat kepada semua menang semua menang akan hubung oleh admin jadi…","Positive"
0,"rt kumpul voucher gratis dan promo tarik gojek auto update jika ada yang baru like rt dulu biar yang lain tau juga …","Neutral"
0,"rt kumpul voucher gratis dan promo tarik gojek auto update jika ada yang baru like rt dulu biar yang lain tau juga …","Neutral"
-2,"aku enggak suka ya kalo dapat driver gojek jauh tapi pas mau cancel enggak sengaja lihat ava nya enggak tega ","Negative"
7,"sudah tiga hari ini pulang naik gojek dan ngendarainnya enggak ada yang benar semua","Positive"
0,"akun gojek rp minat ","Neutral"
0,"gojek bukalapak tokopedia dan traveloka dapat donor asing dengan angka fantastis klikrmolid republikmerdeka ","Neutral"
-2,"rt harus gojek enggak cuma ngelit customer terus jadi nya kayak begini nih cust yang goblog driv…","Negative"
-8,"turut gue kenapa kita enggak bisa kayak ya karena kita enggak bisa nabung kenapa kita enggak bisa nabung ya karena boros waktu jam orang tua kita… ","Negative"
0," hahaha ora prim mek gojek aku ki wkk","Neutral"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
0,"rt saran gojek kalo kasih bintang jangan langsung putus mitra tapi telusur dulu a…","Neutral"
0,"rt saran gojek kalo kasih bintang jangan langsung putus mitra tapi telusur dulu a…","Neutral"
-2,"rt harus gojek enggak cuma ngelit customer terus jadi nya kayak begini nih cust yang goblog driv…","Negative"
0,"gojek pacar ku ","Neutral"
0," belakang grab depan gojek","Neutral"
4," tuhan itu maha ok dan maha oh ye dia selalu berik yang baik buat kita karena kita… ","Positive"
-2,"guys tdkan belum pulang sekolah aku jajan kantin trskan ibu nya lama begitu kan nyautny padahal gojek aku sudah smpe… ","Negative"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
0,"rt kata abang “selamat sudah merawanin helm gojek baru saya” ","Neutral"
0,"gua pikir helm gojek ","Neutral"
3," apakabar saya kemarin naik gojek terus drivernya ngelanggar lampu merah saya tetap kasih bintang cuyy… ","Positive"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
-4,"soal barusan saya order goride dan mitra gojek chat saya dengan nada marah karena rasa saya pernah kasih bintang ","Negative"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
-4,"rt ini grab gojek jauh dekat ribu apa bagaimana ya dari kemarin muter tembalang mau jauh mau dekat tarif selalu flat kak eithe…","Negative"
3,"ratus driver segel kantor gojek semarang buntut pemotongan bonus pihak ","Positive"
0,"rt jihoon pokok jihoon mau datang titik maroo tapi kan ada sche—jihoon jihoon kan deh bilang dari awal januari …","Neutral"
-4,"ini grab gojek jauh dekat ribu apa bagaimana ya dari kemarin muter tembalang mau jauh mau dekat tarif selalu flat kak either grab gojek","Negative"
0,"rt coba masuk kode maba di aplikais gojek kali saja ada yang dapat juga ","Neutral"
-3,"monmaap sampai emosi cari aplikasi gojek di hp nyata logo ganti yang ketanem otak warna ijo itemmmm mulu","Negative"
0,"rt saran gojek kalo kasih bintang jangan langsung putus mitra tapi telusur dulu a…","Neutral"
0,"bandung memang aco banget deh opang nya pas itu ada sana enggak bisa mana enggak ada kendara grab gojek enggak ada yang berani ","Neutral"
